r00000, 0
r00001, 2
r00002, 0
r00003, 0
r00005, 0
r00006, 3
r00007, 1
r00011, 2
r00012, 2
r00013, 2
r00021, 2
r00022, 0
r00023, 0
r00026, 2
r00027, 2
r00032, 0
r00052, 5
r00062, 2
r00072, 2
r00102, 2
r00112, 0
r00202, 0
r00203, 0
r00205, 0
r00212, 5
r00222, 0
r00232, 2
r00522, 2
r01232, 1
r01242, 1
r01252, 5
r01262, 1
r01272, 1
r01275, 1
r01422, 1
r01432, 1
r01442, 1
r01472, 1
r01625, 1
r01722, 1
r01725, 5
r01752, 1
r01762, 1
r01772, 1
r02527, 1
r10001, 1
r10006, 1
r10007, 7
r10011, 1
r10012, 1
r10021, 1
r10024, 4
r10027, 7
r10051, 1
r10101, 1
r10111, 1
r10124, 4
r10127, 7
r10202, 6
r10212, 1
r10221, 1
r10224, 4
r10226, 3
r10227, 7
r10232, 7
r10242, 4
r10262, 6
r10264, 4
r10267, 7
r10271, 0
r10272, 7
r10542, 7
r11112, 1
r11122, 1
r11124, 4
r11125, 1
r11126, 1
r11127, 7
r11152, 2
r11212, 1
r11222, 1
r11224, 4
r11225, 1
r11227, 7
r11232, 1
r11242, 4
r11262, 1
r11272, 7
r11322, 1
r12224, 4
r12227, 7
r12243, 4
r12254, 7
r12324, 4
r12327, 7
r12425, 5
r12426, 7
r12527, 5
r20001, 2
r20002, 2
r20004, 2
r20007, 1
r20012, 2
r20015, 2
r20021, 2
r20022, 2
r20023, 2
r20024, 2
r20025, 0
r20026, 2
r20027, 2
r20032, 6
r20042, 3
r20051, 7
r20052, 2
r20057, 5
r20072, 2
r20102, 2
r20112, 2
r20122, 2
r20142, 2
r20172, 2
r20202, 2
r20203, 2
r20205, 2
r20207, 3
r20212, 2
r20215, 2
r20221, 2
r20222, 2
r20227, 2
r20232, 1
r20242, 2
r20245, 2
r20252, 0
r20255, 2
r20262, 2
r20272, 2
r20312, 2
r20321, 6
r20322, 6
r20342, 2
r20422, 2
r20512, 2
r20521, 2
r20522, 2
r20552, 1
r20572, 5
r20622, 2
r20672, 2
r20712, 2
r20722, 2
r20742, 2
r20772, 2
r21122, 2
r21126, 1
r21222, 2
r21224, 2
r21226, 2
r21227, 2
r21422, 2
r21522, 2
r21622, 2
r21722, 2
r22227, 2
r22244, 2
r22246, 2
r22276, 2
r22277, 2
r30001, 3
r30002, 2
r30004, 1
r30007, 6
r30012, 3
r30042, 1
r30062, 2
r30102, 1
r30122, 0
r30251, 1
r40112, 0
r40122, 0
r40125, 0
r40212, 0
r40222, 1
r40232, 6
r40252, 0
r40322, 1
r50002, 2
r50021, 5
r50022, 5
r50023, 2
r50027, 2
r50052, 0
r50202, 2
r50212, 2
r50215, 2
r50222, 0
r50224, 4
r50272, 2
r51212, 2
r51222, 0
r51242, 2
r51272, 2
r60001, 1
r60002, 1
r60212, 0
r61212, 5
r61213, 1
r61222, 5
r70007, 7
r70112, 0
r70122, 0
r70125, 0
r70212, 0
r70222, 1
r70225, 1
r70232, 1
r70252, 5
r70272, 0
